"Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023)"
"Weight: Person weight (PWGTP)"
"Universe:"
"Selected Geographies: Default (usually U.S.)"
"","","Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency (FS)","","",""
"Group","Citizenship status","Total Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency (FS)","N/A (vacant)","Yes","No"
"","Total","332,387,543","0","47,181,415","285,206,128"
" -> No","","308,595,369","0","44,679,113","263,916,256"
"","Born in the U.S.","270,418,967","0","38,157,860","232,261,107"
"","Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas","2,019,161","0","602,931","1,416,230"
"","Born abroad of U.S. citizen parent or parents","2,976,234","0","392,600","2,583,634"
"","U.S. citizen by naturalization","16,258,385","0","2,516,343","13,742,042"
"","Not a citizen of the U.S.","16,922,622","0","3,009,379","13,913,243"
" -> Yes","","23,792,174","0","2,502,302","21,289,872"
"","Born in the U.S.","10,222,335","0","1,031,894","9,190,441"
"","Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas","46,581","0","5,930","40,651"
"","Born abroad of U.S. citizen parent or parents","569,594","0","59,884","509,710"
"","U.S. citizen by naturalization","7,917,229","0","947,927","6,969,302"
"","Not a citizen of the U.S.","5,036,435","0","456,667","4,579,768"
