"Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies: Default (usually U.S.)"
"","Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency (FS)","","",""
"World area of birth","Total Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency (FS)","N/A (vacant)","Yes","No"
"Total","315,475,116","0","44,459,401","271,015,715"
"US state (POB = 001-059)","265,124,630","0","36,658,981","228,465,649"
"PR and US Island Areas (POB = 061-099)","2,001,807","0","594,042","1,407,765"
"Latin America (POB = 303,310-399)","23,543,939","0","4,363,581","19,180,358"
"Asia (POB = 158-159,161,200-299)","14,891,054","0","1,792,360","13,098,694"
"Europe (POB = 100-157,160,162-199)","5,855,012","0","467,447","5,387,565"
"Africa (POB = 400-499)","2,789,632","0","499,014","2,290,618"
"Northern America (POB = 300-302,304-309)","961,837","0","41,952","919,885"
"Oceania and at Sea (POB = 500-554, also includes POB = 060 for 2018 or later)","307,205","0","42,024","265,181"
